kills,total_drops,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
402,81,2,5,1,3,6,1,2,4,4,2,3,1,2,3,4,7,5,1,5,1,2,5,1,5,2,1,2,1
807,176,8,4,5,12,4,3,7,7,7,6,1,5,8,5,3,7,8,8,7,4,10,6,9,9,3,9,6,5
721,126,1,3,2,5,3,4,5,6,3,6,6,4,5,7,3,4,3,4,2,8,5,7,3,5,4,6,5,7
441,88,3,5,5,3,1,3,4,3,1,6,6,1,2,4,5,1,1,1,2,5,2,6,4,2,1,3,4,4
531,104,3,3,3,7,3,11,4,5,4,3,1,4,3,4,5,4,3,7,1,2,1,1,5,2,6,4,3,2
639,133,7,1,2,2,6,4,5,3,2,4,8,6,10,3,4,3,5,7,5,8,7,6,4,4,5,4,2,6
495,108,4,3,3,4,4,5,3,2,3,3,6,2,6,5,5,1,5,4,4,4,3,8,7,2,3,4,3,2
407,84,5,4,4,1,3,1,5,4,1,2,2,2,1,2,5,4,5,3,3,3,2,4,3,6,3,1,3,2
423,87,3,4,3,2,4,1,7,1,1,6,4,2,2,4,1,5,4,3,2,3,3,4,5,1,3,6,2,1
678,145,5,4,3,6,3,2,4,3,4,9,7,2,6,1,2,8,5,11,8,6,6,11,2,7,7,6,1,6
438,96,5,3,3,4,5,1,4,6,1,2,1,1,1,5,3,4,3,5,2,4,1,3,6,5,7,3,4,4
262,73,4,2,1,2,1,2,1,2,2,3,3,1,2,2,4,2,2,5,2,4,4,4,1,4,5,2,4,2
447,92,3,3,2,2,2,2,6,4,5,7,3,5,5,3,1,4,6,3,3,5,4,5,1,1,2,3,1,1
479,98,4,2,5,2,4,4,2,5,6,6,3,1,7,6,4,4,3,5,1,1,2,4,1,3,2,4,4,3
489,113,1,3,2,4,3,4,2,5,8,4,1,5,2,1,7,4,5,3,2,3,8,6,7,4,8,4,2,5
464,93,3,4,2,3,4,1,3,3,3,4,1,3,5,1,2,4,2,3,5,10,4,1,5,6,3,3,1,4
531,122,6,6,6,7,4,5,5,2,2,6,4,4,1,6,4,2,4,8,8,4,3,5,4,1,4,3,5,3
549,120,7,4,4,1,3,4,3,6,7,5,9,6,4,2,1,7,1,2,3,6,1,5,2,3,6,6,5,7
332,71,2,4,2,1,3,4,1,2,3,1,1,3,4,1,4,1,3,2,5,5,1,3,3,2,1,4,3,2
545,118,4,3,4,6,2,3,3,7,5,1,6,1,4,9,4,7,3,2,5,2,3,7,6,4,7,2,6,2
523,102,4,5,3,2,3,2,2,4,5,1,2,4,2,3,6,4,3,3,5,2,7,6,3,6,6,4,2,3
469,90,3,1,3,5,6,3,3,6,1,5,6,1,3,3,1,1,3,2,2,4,6,1,2,5,4,3,1,6
691,125,4,1,6,4,5,6,5,2,4,8,5,3,2,5,8,3,1,5,5,7,7,4,3,7,4,2,3,6
653,139,3,8,6,10,1,3,5,4,6,8,3,12,5,4,3,4,3,5,4,4,5,5,2,7,5,5,2,7
349,83,1,6,3,2,3,1,1,2,2,3,4,3,1,7,2,3,2,7,4,2,3,2,3,3,3,3,1,6
394,83,3,2,3,1,2,1,4,3,6,1,6,4,4,3,3,3,5,4,3,2,7,1,1,2,3,1,2,3
364,69,1,3,1,6,1,1,1,1,2,3,2,4,2,2,1,1,3,2,5,2,2,4,1,10,2,2,2,2
570,114,2,4,6,8,5,4,3,5,2,5,4,1,11,2,5,4,5,4,4,2,1,4,5,2,5,2,6,3
814,166,1,7,6,4,5,11,10,9,6,7,5,7,6,5,6,6,4,7,7,12,5,1,5,6,2,10,3,3
410,90,3,2,4,2,3,2,3,2,3,3,6,4,3,3,2,2,6,3,5,4,2,6,3,1,5,5,1,2
546,103,3,5,2,3,4,5,6,7,6,2,4,1,6,5,3,2,4,4,4,1,4,2,5,2,6,1,1,5
573,120,3,4,2,3,7,5,2,2,5,5,3,5,1,5,6,3,8,6,5,4,1,4,4,7,3,4,6,7
496,105,6,3,6,5,7,2,5,3,2,3,5,1,5,2,5,1,2,3,3,3,2,4,2,4,3,6,5,7
525,101,1,2,4,2,2,6,6,3,4,3,5,2,3,2,5,6,1,3,7,3,6,4,2,7,3,3,4,2
955,197,11,7,7,4,4,8,6,6,4,9,1,8,5,3,5,6,9,9,10,14,8,7,8,8,9,7,7,7
1021,207,10,14,7,10,5,5,9,10,6,6,8,4,7,1,13,2,6,10,8,4,5,6,12,8,9,4,10,8
340,79,2,4,1,1,3,3,6,3,4,1,3,3,4,1,2,1,1,4,1,5,4,3,4,2,3,5,4,1
520,112,7,1,4,3,7,4,6,1,5,5,2,6,7,2,2,6,2,5,4,8,1,5,5,4,3,5,1,1
555,104,4,5,6,4,3,6,2,1,6,6,5,8,4,5,2,4,1,2,1,5,3,4,1,2,2,8,3,1
430,94,2,3,1,3,1,4,4,5,8,4,3,4,4,2,3,3,5,1,3,5,5,3,3,4,3,3,2,3
319,62,4,3,1,1,1,2,1,3,4,3,2,2,1,2,3,2,1,1,4,3,2,3,3,2,2,2,3,1
599,135,4,4,5,5,5,4,5,1,6,2,3,7,5,4,10,5,6,3,5,4,1,9,3,7,7,4,4,7
304,70,1,1,3,3,3,3,1,1,3,3,2,1,1,3,5,2,2,1,3,3,3,4,4,3,2,2,4,3
708,143,4,5,1,9,3,5,3,3,2,1,7,3,5,9,10,4,13,8,2,1,8,4,7,4,8,3,7,4
695,137,4,4,7,6,5,5,5,7,1,4,5,9,4,4,4,4,7,2,2,7,6,4,4,2,10,3,6,6
666,128,4,10,4,2,3,5,4,8,9,1,6,6,5,6,8,3,2,2,6,5,4,5,2,3,3,6,4,2
415,93,4,2,3,4,3,3,4,5,3,2,4,2,2,5,3,4,6,3,5,6,2,3,2,2,2,1,5,3
427,94,6,1,3,4,2,2,4,7,2,2,5,2,3,1,5,5,4,1,4,2,4,2,1,4,4,3,5,6
